name,sku,itemType,unit,categoryId,supplierId,warningLevel,criticalLevel,serialNumber,acquisitionDate,condition,initialQty,batchNo,expiryDate
AV Fistula Needle,CON-AV-FISTULA-NDL,MEDICAL_CONSUMABLE,pcs,cat-consumable-dialysis,,10,5,,,GOOD,0,,
Adenosine (Tachyban) 3mg/ml,MED-ADENOSINE-3MG,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Alcohol Swab,CON-ALCOHOL-SWAB,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Ambu-bag,EQP-AMBU-BAG,MEDICAL_EQUIPMENT,pcs,cat-equipment,,10,5,,,GOOD,0,,
Amiodarone (Amioget) 150mg/3ml,MED-AMIODARONE-AMIO-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Amiodarone (Cordarone) 150mg/3ml,MED-AMIODARONE-CORD-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Amiodarone (Miorad) 50mg,MED-AMIODARONE-MIOR-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Amiodarone (Rythma) 150mg/3ml,MED-AMIODARONE-RYTH-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Amiodarone 150mg/3ml IV,MED-AMIODARONE-IV-150,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Amlodipine,MED-AMLODIPINE-GEN,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Amlodipine (Odasyl) 10mg,MED-AMLODIPINE-ODA-10,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Amlodipine (Odasyl) 10mg Tab,MED-AMLODIPINE-ODA-10T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Amlodipine (Odasyl) 5mg Tab,MED-AMLODIPINE-ODA-5T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Amlodipine Besilate 10mg,MED-AMLODIPINE-BES-10T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Amlodipine Besilate 5mg,MED-AMLODIPINE-BES-5T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Asepto Syringe 50cc,CON-ASEPTO-SYR-50,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Aspirin (Aspilets) 80mg,MED-ASPIRIN-ASP-80,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Aspirin (Philprin) 80mg,MED-ASPIRIN-PHIL-80,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Aspirin 80mg Tab,MED-ASPIRIN-80T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Atorvastatin (Atorvex) 20mg,MED-ATORVASTATIN-AT-20,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Atropine (Tropin) 1ml/1ml,MED-ATROPINE-TROP-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Atropine Sulfate (Atrex-CDH) 1ml/ml,MED-ATROPINE-AT-CDH-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Atropine Sulfate (Atrex-PSH) 1mg/ml,MED-ATROPINE-AT-PSH-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Atropine Sulfate (Troponin) 1mg/ml,MED-ATROPINE-TROPONIN-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Bloodlines,CON-BLOODLINES,MEDICAL_CONSUMABLE,pcs,cat-consumable-dialysis,,10,5,,,GOOD,0,,
Bonnet,PPE-BONNET,PPE,pcs,cat-ppe,,10,5,,,GOOD,0,,
Calcium Gluconate (Euromed) 10ml,MED-CALCIUM-GLUC-EURO-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Calcium Gluconate (Osteofree) 500mg,MED-CALCIUM-GLUC-OST-500,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Calcium Mineral (Ambical),MED-CALCIUM-MIN-AMB,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Cannula Catheter,CON-CANNULA-CATHETER,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Cardiac Patch,CON-CARDIAC-PATCH,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Carvedilol (Carvid) 25mg,MED-CARVEDILOL-CARV-25,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Cidex Solution (OPA),CON-CIDEX-SOL-OPA,MEDICAL_CONSUMABLE,bottle,cat-consumable,,10,5,,,GOOD,0,,
Clonidine (Catapres) 150mcg,MED-CLONIDINE-CAT-150,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Catapres) 75mcg Tab,MED-CLONIDINE-CAT-75T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Catapres) 75mcg Tablet,MED-CLONIDINE-CAT-75TB,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Clodin) 150mcg,MED-CLONIDINE-CLOD-150,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Clodin) 75mcg,MED-CLONIDINE-CLOD-75,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Clonipress) 150mg,MED-CLONIDINE-CLON-150,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Clonipress) 75mcg,MED-CLONIDINE-CLON-75,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Clonipress) 75mcg Tab,MED-CLONIDINE-CLON-75T,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clonidine (Ritemed),MED-CLONIDINE-RITE,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clopidogrel (Clopate) 75mg,MED-CLOPIDOGREL-CLOP-75,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Clopidogrel (Clopegen) 75mg,MED-CLOPIDOGREL-CLOPG-75,MEDICATION,tab,cat-med-oral,,10,5,,,GOOD,0,,
Cotton Balls (1 pack of 4),CON-COTTON-BALLS-P4,MEDICAL_CONSUMABLE,pack,cat-consumable,,10,5,,,GOOD,0,,
Dextrose 50% (D50 Water) 50ml,MED-D50-WATER-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Dialyzer - Hi Flux (Euro Pacific),CON-DIALYZER-HI-EURO,MEDICAL_CONSUMABLE,pcs,cat-consumable-dialysis,,10,5,,,GOOD,0,,
Dialyzer - Hi-Flux (Nipro),CON-DIALYZER-HI-NIPRO,MEDICAL_CONSUMABLE,pcs,cat-consumable-dialysis,,10,5,,,GOOD,0,,
Dialyzer - Low Flux (Euro Pacific),CON-DIALYZER-LOW-EURO,MEDICAL_CONSUMABLE,pcs,cat-consumable-dialysis,,10,5,,,GOOD,0,,
Diazepam (Valium) 10mg/2ml,MED-DIAZEPAM-VAL-10,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diazepam (Valium) 5mg/ml,MED-DIAZEPAM-VAL-5,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Digoxin (Dixin) 250mcg/ml,MED-DIGOXIN-DIX-250,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Digoxin (Lanoxin) 0.5mg/2ml,MED-DIGOXIN-LAN-05,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine,MED-DIPHENHYD-GEN,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Alleright) 50mg,MED-DIPHENHYD-ALL-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Benadryl) 25mg,MED-DIPHENHYD-BEN-25,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
Diphenhydramine (Benadryl) 50mg,MED-DIPHENHYD-BEN-50,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
Diphenhydramine (Benadryl) 50mg Cap,MED-DIPHENHYD-BEN-50C,MEDICATION,capsule,cat-med-oral,,10,5,,,GOOD,0,,
Diphenhydramine (Diphenpors) 50mg,MED-DIPHENHYD-DIP-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Hypen) 50mg,MED-DIPHENHYD-HYP-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Hypen) 50mg Amp,MED-DIPHENHYD-HYP-50A,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Rabaphen) 50mg,MED-DIPHENHYD-RAB-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine (Soniphen) 50mg/ml,MED-DIPHENHYD-SON-50,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Diphenhydramine-1,MED-DIPHENHYD-1,MEDICATION,ampule,cat-med-injectable,,10,5,,,GOOD,0,,
Disposable Syringe (Terumo) 1cc,CON-SYRINGE-TER-1CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Disposable Syringe 10cc,CON-SYRINGE-10CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Disposable Syringe 1cc,CON-SYRINGE-1CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Disposable Syringe 20cc,CON-SYRINGE-20CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Disposable Syringe 3cc,CON-SYRINGE-3CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
Disposable Syringe 5cc,CON-SYRINGE-5CC,MEDICAL_CONSUMABLE,pcs,cat-consumable,,10,5,,,GOOD,0,,
